# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  p425       46.4527  -122.8454   +2.4321   0.0213   +7.8530   0.0181   -1.7934   0.0498  -11.1083  -13.9810    5793
  p426       47.8027  -122.5146   +2.5910   0.0264   +5.4632   0.0191   -1.4593   0.0661  -11.4107  -13.8927    4573
  p427       45.4302  -122.3406   +0.7922   0.0195   +7.2505   0.0137   -1.5877   0.0465  -11.0076  -13.8461    5843
  p429       45.6761  -121.8774   +0.2517   0.0197   +6.5573   0.0162   -1.3824   0.0551  -11.1332  -13.7215    5799
  p430       47.0038  -123.4362   +4.5282   0.0336   +8.1573   0.0291   -1.0871   0.0788  -11.1021  -14.1374    2286
  p431       46.5721  -121.9885   +1.3803   0.0241   +6.6240   0.0242   -1.3122   0.0553  -11.2806  -13.7514    5461
  p432       46.6229  -121.6832   +0.6514   0.0198   +5.8203   0.0208   -1.1803   0.0590  -11.3430  -13.6690    5795
  p434       47.7402  -121.0756   +0.2533   0.0167   +4.1095   0.0175   -0.6865   0.0519  -11.6541  -13.5036    5763
  p435       48.0595  -123.5033   +4.5346   0.0226   +6.8071   0.0289   +0.0428   0.0618  -11.2764  -14.1550    5726
  p436       48.0453  -123.1343   +3.2460   0.0247   +6.1271   0.0195   +0.1089   0.0623  -11.3414  -14.0576    5162
  p437       48.0018  -122.4592   +2.5569   0.0230   +5.6641   0.0185   -1.3506   0.0524  -11.4561  -13.8779    5842
  p438       48.4191  -122.6703   +2.2553   0.0244   +4.9382   0.0166   -1.0039   0.0471  -11.4917  -13.9343    3900
  p439       48.7082  -122.9093   +2.7014   0.0218   +5.6849   0.0207   -0.6437   0.0464  -11.4986  -13.9979    5823
  p440       48.8562  -122.4933   +1.6734   0.0174   +4.6681   0.0167   -0.7861   0.0546  -11.6006  -13.8870    5321
  p441       48.9160  -122.1396   +1.1102   0.0178   +4.1680   0.0203   -0.2714   0.0603  -11.6754  -13.7922    5381
  p442       48.2605  -121.6155   +0.8689   0.0243   +4.3180   0.0273   -1.4515   0.0801  -11.6532  -13.6506    3779
  p443       48.5096  -121.2856   +0.9265   0.0249   +4.9800   0.0417   +0.3251   0.0647  -11.7565  -13.5609    3788
  p444       48.7302  -121.0675   +0.2428   0.0250   +3.8551   0.0290   -0.6588   0.0911  -11.8347  -13.5014    3634
  p446       46.1157  -122.8928   +2.3205   0.0191   +7.8204   0.0173   -1.6213   0.0485  -11.0384  -13.9936    5843
  p655       41.2945  -122.2063   -7.8318   0.0262   +7.9887   0.0245   +0.8360   0.1029  -10.2274  -13.8101    5174
  p656       41.3448  -122.1958   -7.7612   0.0547   +8.4793   0.0980   +1.3390   0.2255  -10.2391  -13.8073    2507
  p657       41.3812  -122.2938   -7.1929   0.0260   +8.1981   0.0189   -0.0938   0.0830  -10.2308  -13.8336    5802
  p658       41.4792  -122.1909   -7.2253   0.0274   +7.9661   0.0423   +0.3825   0.0928  -10.2669  -13.8060    5108
  p659       41.4537  -122.0927   -7.0321   0.0382   +8.1150   0.0424   +1.6092   0.1232  -10.2774  -13.7795    4294
  p660       41.4096  -122.0677   -7.5472   0.0510   +7.3419   0.0430   +0.5592   0.1392  -10.2725  -13.7728    3810
  p661       41.4636  -122.3127   -7.0573   0.0229   +8.1885   0.0192   +0.2485   0.0725  -10.2443  -13.8386    4677
  p663       41.5319  -122.1529   -7.0611   0.0303   +7.9134   0.0232   +0.0309   0.0935  -10.2835  -13.7957    5043
  p664       40.4732  -121.4959   -9.6171   0.0429   +9.7795   0.0588   -6.7187   0.1525  -10.1717  -13.6181    3362
  p665       40.4561  -121.5258   -7.6826   0.0348  +11.0018   0.0401   -6.1362   0.1307  -10.1636  -13.6262    3278
  p666       40.4653  -121.5145   -8.4061   0.0311  +11.2757   0.0304   -7.4480   0.1021  -10.1673  -13.6232    4246
  p667       40.4658  -121.4674  -13.3172   0.0466  +10.9542   0.0417   -6.9519   0.0994  -10.1746  -13.6104    3158
  p668       40.5090  -121.4631  -11.2645   0.0354   +6.5022   0.0332   -4.2072   0.1185  -10.1842  -13.6092    4516
  p669       40.4921  -121.6038   -9.1551   0.0276   +8.3399   0.0246   -1.1171   0.1026  -10.1590  -13.6474    4767
  p670       40.5399  -121.5772   -9.2563   0.0204   +7.2452   0.0191   -1.1509   0.0764  -10.1729  -13.6402    5667
  p671       40.4091  -121.4282  -13.0004   0.0341  +12.3242   0.0388   -1.9179   0.1091  -10.1690  -13.5997    4928
  p672       41.7116  -121.5069   -6.9709   0.0180   +6.8493   0.0219   -0.7737   0.0661  -10.4223  -13.6211    5699
  p673       41.5858  -121.6130   -5.3738   0.0229   +7.7078   0.0232   -3.5989   0.0908  -10.3801  -13.6499    4100
  p674       41.6163  -121.4900   -8.3013   0.0249   +6.7296   0.0222   -1.6338   0.0830  -10.4057  -13.6165    5369
  p687       46.1096  -122.3546   +1.1727   0.0250   +6.7992   0.0246   -1.0544   0.0767  -11.1315  -13.8499    4978
  p688       46.0301  -122.1642   +1.4101   0.0243   +5.6654   0.0250   -1.1446   0.0672  -11.1499  -13.7988    4868
  p689       46.1896  -122.3606   +0.8914   0.0353   +7.1339   0.0307   -1.0403   0.0574  -11.1452  -13.8515    4831
  p690       46.1800  -122.1899   +1.2389   0.0782   +7.0173   0.0762   -0.8387   0.1449  -11.1732  -13.8057    3541
  p691       46.2315  -122.2270   +1.0594   0.0305   +7.3061   0.0247   -0.3176   0.0684  -11.1762  -13.8156    5148
  p692       46.2245  -122.1842   +1.9837   0.0280   +6.8231   0.0291   -0.5653   0.0599  -11.1824  -13.8041    5396
  p693       46.2103  -122.2023   +3.1374   0.1125   +5.6287   0.1123   -2.1045   0.1694  -11.1766  -13.8090    3619
  p694       46.2996  -122.1819   +1.3016   0.0429   +7.7764   0.0532   -0.3737   0.0963  -11.1967  -13.8035    3982
  p695       46.1990  -122.1642   +4.4522   0.1345   +4.8769   0.1048   -1.3652   0.1120  -11.1811  -13.7988    4616
  p696       46.1969  -122.1516   +1.5315   0.0416   +6.4444   0.0404   -1.2414   0.0693  -11.1829  -13.7954    5490
  p697       46.1876  -122.1766   -5.7734   0.3427  +10.2126   0.2270   -2.9464   0.1828  -11.1769  -13.8021    3874
  p698       46.1735  -122.1606   +1.8926   0.0438   +6.2642   0.0299   -1.2124   0.0691  -11.1770  -13.7978    5575
  p700       46.1781  -122.2174   +1.1903   0.0260   +6.6103   0.0308   -0.4722   0.0647  -11.1680  -13.8131    5559
  p701       46.1946  -122.1334   +1.5855   0.0321   +6.6854   0.0260   -0.6214   0.0672  -11.1857  -13.7905    5637
  p702       46.3002  -122.3456   +1.0156   0.0301   +7.4534   0.0289   -1.0894   0.0596  -11.1682  -13.8475    5221
  p703       46.1453  -122.1962   +1.1630   0.0312   +5.7762   0.0536   -1.0859   0.0844  -11.1656  -13.8074    4729
  p705       46.1730  -122.3106   +0.8223   0.0398   +6.6756   0.0273   -1.3912   0.0833  -11.1509  -13.8381    4859
  p732       43.3925  -123.8914   -0.2612   0.0193  +10.8773   0.0190   -0.0550   0.0499  -10.3583  -14.2568    5796
  p733       42.4420  -124.4133   +1.0021   0.0153  +14.2128   0.0151   +1.9202   0.0509  -10.0892  -14.3927    5833
  p734       42.0766  -124.2933   -1.4228   0.0171  +13.3899   0.0167   +2.1087   0.0493  -10.0397  -14.3616    5736
  p735       42.6916  -123.2310   -3.4389   0.0202   +9.6903   0.0207   +0.0921   0.0549  -10.3358  -14.0832    5222
  p736       42.5798  -121.8801   -4.5702   0.0164   +7.1579   0.0137   -0.0943   0.0608  -10.5360  -13.7222    5785
  p737       42.7271  -122.6096   -3.6156   0.0206   +8.5789   0.0208   -0.2495   0.0600  -10.4457  -13.9181    3628
  p784       41.8308  -122.4205   -6.0811   0.0231   +8.2471   0.0182   -0.0400   0.0584  -10.3001  -13.8675    5812
  p786       41.8455  -123.9808   -2.4902   0.0197  +12.5492   0.0193   +1.5769   0.0561  -10.0474  -14.2802    5762
  p791       45.3445  -121.6727   +0.1759   0.0701   +6.2626   0.0452   -0.4064   0.1060  -11.1056  -13.6661    3908
  p792       46.2446  -122.1369   +1.7725   0.0403   +6.8743   0.0557   -1.1835   0.1017  -11.1943  -13.7914    2902
  p793       40.4788  -123.5731  -10.6922   0.0253  +11.4734   0.0228   +1.0845   0.0636   -9.8458  -14.1734    5551
  p794       39.8457  -122.9638  -13.4042   0.0278   +9.8817   0.0263   +0.6905   0.0585   -9.8153  -14.0124    4569
  p815       47.9372  -124.5572  +12.6330   0.0207  +11.8033   0.0180   +0.9338   0.0609  -11.0598  -14.4300    3565
  p816       47.9371  -124.5571  +12.7740   0.0182  +11.9152   0.0161   +0.9568   0.0542  -11.0598  -14.4300    3617
  p821       43.1446  -123.4290   -2.6476   0.0569   +9.9119   0.0488   +0.4482   0.1763  -10.3897  -14.1355    2345
  pabh       47.2128  -124.2046  +11.9667   0.0178  +13.2429   0.0143   -0.0545   0.0429  -10.9992  -14.3385    5623
  pcol       47.1721  -122.5708   +2.2813   0.0316   +6.3877   0.0176   -2.3579   0.0573  -11.2874  -13.9078    5738
  pdxa       45.5969  -122.6092   +1.5841   0.0267   +7.2950   0.0192   -3.2592   0.0763  -10.9922  -13.9180    5084
  pfld       47.8985  -122.2822   +2.0514   0.0262   +5.0439   0.0162   -0.9645   0.0601  -11.4694  -13.8305    5639
  pgc5       48.6485  -123.4511   +3.6794   0.0319   +5.7955   0.0215   +0.5581   0.0586  -11.3883  -14.1413    5810
  pkdl       45.5183  -121.5637   -0.0112   0.0303   +6.1098   0.0242   -1.3222   0.0930  -11.1570  -13.6365    4838
  pkwd       46.5998  -121.6770   +0.3025   0.0248   +4.5346   0.0258   +1.0085   0.0977  -11.3399  -13.6673    5477
  pmar       43.9907  -121.6867   -1.3420   0.0317   +5.1108   0.0241   +0.2122   0.0829  -10.8439  -13.6699    4921
  prdy       47.3914  -122.6095   +1.9362   0.0266   +5.8671   0.0189   -1.1157   0.0634  -11.3200  -13.9181    3718
  pspt       42.7548  -122.4895   -4.1845   0.0242   +8.5634   0.0196   -0.8271   0.0686  -10.4709  -13.8860    5307
  ptaa       48.1168  -123.4944   +4.7949   0.0340   +6.3441   0.0326   +2.2140   0.0843  -11.2880  -14.1527    4981
  ptal       49.2563  -124.8610   +4.4826   0.0216   +6.5950   0.0192   +2.7060   0.0529  -11.2257  -14.5083    5835
  ptrf       48.5443  -124.4131   +6.0202   0.0293   +7.7321   0.0250   +2.4320   0.0700  -11.1908  -14.3927    5601
  ptsg       41.7827  -124.2552   -0.0072   0.0185  +14.1298   0.0133   +1.9886   0.0461   -9.9895  -14.3517    5609
  pupu       47.4996  -122.0081   +1.4082   0.0535   +6.5302   0.0514   -1.8135   0.1549  -11.4465  -13.7567    4907
  quad       50.1325  -125.3308   +1.5676   0.0172   +5.4281   0.0182   +3.8210   0.0592  -11.2788  -14.6287    5807
  rdl2       42.9545  -123.3622   -3.1510   0.0637   +9.4093   0.0686   -0.9777   0.2344  -10.3645  -14.1179    1936
  redm       44.2598  -121.1479   -2.3413   0.0205   +5.2120   0.0165   -1.1796   0.0536  -10.9852  -13.5233    5839
  reed       43.7010  -124.1078   +2.2146   0.0240  +11.7957   0.0182   -1.3181   0.0550  -10.3791  -14.3133    5296
  rpt5       47.3875  -122.3748   +1.9397   0.0324   +6.0262   0.0230   -2.0100   0.0730  -11.3612  -13.8553    2879
  rsbg       43.2350  -123.3594   -1.8715   0.0261   +9.4574   0.0253   -1.0285   0.0796  -10.4187  -14.1171    4356
  rymd       46.6841  -123.7304   +5.2214   0.0254   +9.9502   0.0189   +0.1062   0.0581  -10.9919  -14.2147    5573
  samm       47.5399  -122.0332   +1.4081   0.0356   +6.0695   0.0355   -1.4356   0.0792  -11.4493  -13.7635    5621
  sc02       48.5462  -123.0076   +2.8424   0.0305   +5.4961   0.0191   -0.3276   0.0510  -11.4523  -14.0240    5620
  sc03       47.8166  -123.7057   +5.9691   0.0374   +8.3776   0.0423   +3.0303   0.0720  -11.1967  -14.2082    4299
  sc04       48.9232  -123.7041   +3.3838   0.0235   +5.9168   0.0206   +0.7991   0.0543  -11.3885  -14.2078    5806
  seas       45.9842  -123.9224   +6.9440   0.0224  +10.8432   0.0200   +0.7191   0.0571  -10.8316  -14.2650    5321
  seat       47.6540  -122.3095   +1.7639   0.0252   +5.0921   0.0188   -1.7763   0.0596  -11.4208  -13.8378    4955
  sedr       48.5216  -122.2238   +1.5856   0.0238   +4.8625   0.0167   -0.9084   0.0623  -11.5907  -13.8148    5772
  seqm       48.0914  -123.1135   +3.7139   0.0323   +6.5716   0.0297   +0.2721   0.0897  -11.3533  -14.0521    3701
  shrk       45.4643  -121.5288   -1.1885   0.0461   +7.4277   0.0436   -0.9165   0.1082  -11.1527  -13.6271    3195
  skgt       48.4334  -122.3425   +1.7885   0.0364   +5.3212   0.0306   -2.0629   0.1073  -11.5537  -13.8466    2304
  smai       47.5236  -122.3451   +1.7204   0.0240   +5.7536   0.0187   -1.1274   0.0559  -11.3910  -13.8473    5725
  snoq       47.3913  -121.3883   +0.3957   0.0259   +4.8472   0.0223   -1.3508   0.0938  -11.5357  -13.5889    5500
  snrs       46.9146  -121.6436   +7.4213   0.2177   +8.4735   0.1456   +3.7015   0.3588  -11.4037  -13.6582    1908
  ssho       47.6823  -122.3152   +2.0899   0.0255   +5.7103   0.0166   -2.2226   0.0565  -11.4248  -13.8393    5727
  stay       44.8307  -122.8209   +1.1154   0.0232   +7.9814   0.0170   -0.6069   0.0569  -10.8127  -13.9744    5419
  swnb       43.6727  -121.3554   -2.7845   0.0212   +6.2564   0.0172   +0.3368   0.0684  -10.8365  -13.5799    5144
  taco       47.2289  -122.4715   +1.7181   0.0212   +5.9901   0.0202   -2.4276   0.0640  -11.3153  -13.8812    5684
  tdls       45.6077  -121.1295   -0.4728   0.0203   +5.4809   0.0222   -0.0525   0.0713  -11.2474  -13.5183    4690
  tfno       49.1541  -125.9078   +8.1597   0.0267   +8.4035   0.0192   +1.6195   0.0591  -11.0063  -14.7752    5678
  tgua       46.2192  -122.1923   +1.7789   0.0361   +7.1117   0.0348   -1.7264   0.0757  -11.1800  -13.8063    5047
  thar       46.2753  -122.1740   +1.3524   0.0297   +7.3187   0.0384   -0.5801   0.0757  -11.1935  -13.8014    4934
  thun       47.1058  -122.2885   +1.6044   0.0265   +6.1126   0.0175   -1.0761   0.0669  -11.3255  -13.8322    3871
  till       45.4551  -123.8308   +4.8418   0.0261  +10.4541   0.0175   -0.2830   0.0539  -10.7519  -14.2410    5351
  tmbu       43.6018  -121.1446   -3.3306   0.0278   +5.6887   0.0264   +0.9235   0.0876  -10.8571  -13.5224    4807
  tpw2       46.2074  -123.7684   +5.8128   0.0317  +10.0747   0.0231   -0.1822   0.0488  -10.8995  -14.2246    5003
  trnd       41.0539  -124.1509   -0.7776   0.0236  +17.8492   0.0165   -0.3765   0.0510   -9.8654  -14.3246    5764
  tstu       46.2369  -122.2241   -3.1262   0.0318   +3.5844   0.0572   -3.0251   0.0637  -11.1777  -13.8149    5271
  tumw       46.9843  -122.9122   +2.5943   0.0313   +6.3642   0.0345   -0.5438   0.1148  -11.1927  -13.9987    5587
  twhl       47.0159  -122.9229   +3.1149   0.0260   +7.5680   0.0222   -0.4601   0.0528  -11.1965  -14.0015    5716
  twiw       46.2129  -122.1587   -0.0242   0.0630   +7.1240   0.0497   -0.4567   0.0863  -11.1847  -13.7973    4689
  twri       46.1979  -122.2119   +3.8858   0.0729   +6.4565   0.1202   -0.7246   0.1600  -11.1726  -13.8116    3014
  uclu       48.9256  -125.5416   +8.2059   0.0240   +8.9104   0.0199   +2.2046   0.0663  -11.0397  -14.6824    5830
  ufda       47.7550  -122.6674   +2.8746   0.0287   +5.3546   0.0196   -0.3540   0.0602  -11.3747  -13.9335    5707
  vcwa       45.6176  -122.5161   +1.5107   0.0214   +7.2472   0.0160   -1.9069   0.0614  -11.0123  -13.8931    5704
  wacs       46.6754  -122.9700   +2.5628   0.0314   +7.5148   0.0258   -0.7894   0.0790  -11.1266  -14.0141    2205
  wamc       45.2238  -121.2736   -0.4543   0.0192   +5.4368   0.0186   -1.1403   0.0640  -11.1501  -13.5577    5298
  wdbn       45.1709  -122.8701   +1.5811   0.0299   +7.7806   0.0200   -3.3696   0.0764  -10.8678  -13.9875    5311
  wdcb       40.5801  -122.5407  -10.5868   0.0509   +8.4310   0.0504   +1.5691   0.2057  -10.0305  -13.8997    2640
  webg       45.7796  -122.5628   +1.4732   0.0302   +7.7756   0.0190   -0.8191   0.0986  -11.0342  -13.9056    4091
  whd5       48.3127  -122.6961   +2.9459   0.0499   +5.3539   0.0342   -1.1311   0.0699  -11.4683  -13.9412    3178
  wmsg       45.1313  -121.5973   -0.5282   0.0205   +5.3977   0.0228   -0.8978   0.0639  -11.0779  -13.6457    4874
  wosb       50.1607  -126.5704   +2.4478   0.0371   +6.7294   0.0384   +3.1903   0.1470  -11.0377  -14.9416    3093
  wost       50.2124  -126.6050   +2.3642   0.0539   +8.6682   0.0793   +4.0549   0.1211  -11.0390  -14.9502    2232
  wslb       50.1265  -122.9212   +1.4045   0.0331   +4.2543   0.0312   +4.9373   0.2319  -11.7399  -14.0011    3255
  ybhb       41.7317  -122.7107   -5.7388   0.0287   +9.1774   0.0208   +0.6052   0.0731  -10.2336  -13.9451    4480
  yelm       46.9487  -122.6057   +2.1905   0.0277   +6.8652   0.0203   -1.0891   0.0583  -11.2408  -13.9171    3492
  yonc       43.6341  -123.2983   -0.6126   0.0224   +9.2206   0.0226   -0.4927   0.0601  -10.5051  -14.1010    5292
