# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  elsr       47.4976  -122.7606   +3.2745   0.0326   +6.4625   0.0175   -0.9749   0.0570  -11.3120  -13.9584    5567
  enum       47.2062  -121.9556   +1.3649   0.0247   +6.1591   0.0337   -0.9661   0.0761  -11.4025  -13.7426    4819
  fts5       46.2049  -123.9561   +7.6011   0.0303  +10.8056   0.0220   +0.8950   0.0599  -10.8653  -14.2738    3180
  gasb       39.6547  -122.7159  -12.8334   0.0631   +9.3136   0.0545   +1.6043   0.2263   -9.8151  -13.9465    1881
  gldr       49.6815  -126.1273   +4.2980   0.0208   +5.9491   0.0245   +3.0397   0.0728  -11.0490  -14.8305    4683
  glwd       46.0198  -121.2886   -0.5143   0.0315   +5.5563   0.0344   -3.5264   0.1016  -11.2984  -13.5617    3767
  grmd       46.7955  -123.0226   +2.9506   0.0252   +7.1159   0.0209   -0.5946   0.0618  -11.1389  -14.0280    5685
  gtps       42.4345  -123.2974   -4.4480   0.0255  +10.3126   0.0230   -0.2930   0.0753  -10.2750  -14.1007    5377
  gwn5       45.7826  -121.3276   +0.3690   0.0360   +5.2658   0.0273   -1.9657   0.0820  -11.2471  -13.5723    3281
  gwn6       45.7826  -121.3273   -0.1847   0.0324   +4.7874   0.0279   -2.0719   0.0910  -11.2471  -13.5723    3157
  hahd       47.2908  -121.7881   +0.7948   0.0220   +5.7281   0.0224   -2.5166   0.0678  -11.4474  -13.6973    4829
  hcro       40.8159  -121.4699   -8.9190   0.0223   +7.2913   0.0184   +0.4098   0.0703  -10.2461  -13.6111    5018
  holb       50.6404  -128.1350   -0.1264   0.0320   +4.0973   0.0209   +1.6849   0.0529  -10.7939  -15.3265    5697
  husb       44.1195  -121.8494   -3.2424   0.0353   +8.9004   0.0356   +5.6129   0.1076  -10.8418  -13.7139    4834
  jime       45.5231  -122.9905   +2.0851   0.0269   +9.4347   0.0302   -0.4872   0.0834  -10.9122  -14.0195    5017
  jobo       48.5624  -122.4373   +1.6939   0.0265   +5.3049   0.0259   -0.4817   0.0876  -11.5592  -13.8720    4097
  jro1       46.2751  -122.2176   +1.3855   0.0271   +7.7093   0.0814   -0.1242   0.0789  -11.1859  -13.8131    5438
  kfrc       42.2242  -121.7839   -5.4165   0.0216   +7.2586   0.0203   -1.0663   0.0732  -10.4809  -13.6962    5120
  ktbw       47.5473  -122.7954   +2.9551   0.0261   +6.3396   0.0317   -1.2069   0.0524  -11.3146  -13.9677    5780
  kwbu       43.7524  -121.3120   -2.9032   0.0289   +6.0708   0.0248   -1.0247   0.0990  -10.8593  -13.5681    4401
  lapn       43.6646  -121.5060   -2.7351   0.0179   +6.1235   0.0174   -1.7750   0.0809  -10.8103  -13.6209    4203
  lcso       44.6344  -123.1067   +1.6164   0.0216   +8.5824   0.0190   +0.5359   0.0538  -10.7266  -14.0503    4623
  lflo       43.9836  -124.1077   +2.7347   0.0255  +11.4468   0.0292   -1.4775   0.0497  -10.4319  -14.3133    4993
  lkcp       47.9444  -121.8309   +1.1702   0.0249   +4.8783   0.0202   -1.5821   0.0677  -11.5582  -13.7089    5322
  lngb       47.2188  -122.7583   +2.4434   0.0284   +6.6082   0.0195   -0.9848   0.0611  -11.2624  -13.9578    3251
  lpsb       44.0512  -123.0901   -0.2450   0.0249   +8.5832   0.0178   -0.4942   0.0536  -10.6196  -14.0459    4977
  lsig       47.6952  -121.6896   +0.8216   0.0182   +4.9974   0.0225   -2.3831   0.0671  -11.5382  -13.6707    5705
  lwck       46.2781  -124.0538   +7.8915   0.0239  +12.2071   0.0229   +1.5530   0.0668  -10.8609  -14.2993    4512
  mcso       44.9738  -122.9557   +1.7544   0.0299   +8.4781   0.0290   +0.0743   0.0669  -10.8162  -14.0103    5445
  mdmt       42.4183  -121.2216   -5.1101   0.0180   +6.4571   0.0210   -1.0572   0.0773  -10.6097  -13.5435    5694
  mdrs       44.6640  -121.1304   -1.4874   0.0179   +5.3352   0.0188   -1.4509   0.0573  -11.0665  -13.5186    4018
  mhtl       45.3287  -121.7112   +0.0506   0.0271   +5.9378   0.0248   -0.5508   0.1012  -11.0961  -13.6765    5649
  mkah       48.3707  -124.5892   +7.5083   0.0253   +9.0298   0.0235   +1.3260   0.0713  -11.1280  -14.4383    5518
  mrib       49.4670  -123.9141   +2.3546   0.0371   +5.3112   0.0399   +1.8741   0.1533  -11.4414  -14.2628    2496
  mrsd       46.7853  -121.7420   +0.7997   0.0473   +5.4242   0.0505   -1.7566   0.1523  -11.3628  -13.6849    1299
  muir       46.8356  -121.7332  +19.5969   0.3940  +16.4690   0.3035   -2.9296   0.1338  -11.3736  -13.6825    1594
  nano       49.2948  -124.0865   +3.2185   0.0205   +6.0938   0.0187   +1.4921   0.0504  -11.3798  -14.3078    5838
  neah       48.2979  -124.6249   +8.3342   0.0281   +9.7290   0.0253   +2.9878   0.0882  -11.1089  -14.4475    5024
  nint       47.4951  -121.7971   -0.0707   0.0447   +5.5154   0.0299   -2.3543   0.0771  -11.4830  -13.6998    5688
  norm       43.7389  -121.2527   -2.9136   0.0301   +6.0917   0.0266   +0.1079   0.0952  -10.8663  -13.5520    3815
  ntka       49.5924  -126.6166   +6.1610   0.0199   +8.0249   0.0171   +3.1821   0.0584  -10.9378  -14.9531    5477
  oakr       43.7383  -122.4446   -1.3262   0.0197   +7.6470   0.0160   -1.1944   0.0550  -10.6690  -13.8740    5235
  obec       44.0660  -123.0981   -0.3087   0.0251   +8.4763   0.0206   +0.0144   0.0584  -10.6211  -14.0480    3804
  obsr       46.8998  -121.8154   +1.2468   0.0606   +5.8320   0.0385   -0.6660   0.0599  -11.3711  -13.7047    5716
  ocen       46.9524  -124.1597  +10.9754   0.0165  +13.9108   0.0159   +0.8504   0.0524  -10.9616  -14.3269    5605
  odot       44.8967  -123.0008   +1.4947   0.0279   +8.3176   0.0262   +0.2204   0.0812  -10.7940  -14.0222    3352
  olar       46.9612  -122.9085   +2.4119   0.0252   +7.9518   0.0244   -0.4297   0.0644  -11.1892  -13.9977    3974
  olmp       47.0448  -122.8952   +3.2657   0.0305   +7.8283   0.0231   -2.0389   0.0639  -11.2066  -13.9942    4909
  onab       44.5145  -124.0745   +4.8787   0.0224  +11.6374   0.0162   -0.7829   0.0537  -10.5363  -14.3047    5275
  orsb       44.6253  -124.0488   +6.3180   0.0342  +11.7398   0.0251   -3.3033   0.0839  -10.5612  -14.2980    3238
  orvb       39.5546  -121.5003  -12.6271   0.0232   +9.4186   0.0178   +1.0603   0.0999   -9.9809  -13.6193    5739
  oylr       47.4746  -122.2048   +1.4085   0.0361   +5.5625   0.0257   -2.3912   0.0682  -11.4071  -13.8097    4022
  p058       40.8763  -124.0754   -1.1886   0.0164  +18.9705   0.0135   +0.5225   0.0549   -9.8430  -14.3049    5791
  p060       40.9976  -122.4149   -8.8658   0.0217   +8.7190   0.0189   +0.0660   0.0754  -10.1346  -13.8660    5658
  p061       42.9674  -124.0140   -1.0224   0.0348  +11.7641   0.0251   -0.0325   0.0807  -10.2568  -14.2889    2178
  p062       43.1124  -121.0907   -4.0283   0.0151   +5.9695   0.0140   -0.0519   0.0555  -10.7691  -13.5077    5844
  p064       47.9698  -123.4877   +4.4376   0.0355   +6.6514   0.0393   +1.2440   0.0845  -11.2635  -14.1509    3032
  p154       41.8071  -123.3601   -4.8246   0.0194  +10.7110   0.0202   +0.9380   0.0598  -10.1425  -14.1173    5806
  p155       41.2724  -123.1888   -6.4691   0.0203  +10.6666   0.0202   -0.1151   0.0574  -10.0652  -14.0720    5733
  p156       40.0244  -123.9061  -22.9984   0.0276  +26.5480   0.0240   -1.5411   0.0779   -9.7020  -14.2607    5288
  p157       40.2475  -124.3081  -22.3610   0.0208  +34.5780   0.0212   +1.2553   0.0529   -9.6815  -14.3654    5722
  p158       40.4225  -124.1072   -8.1574   0.0181  +24.6287   0.0241   +4.4571   0.0670   -9.7485  -14.3132    5745
  p159       40.5048  -124.2828   -5.4790   0.0203  +28.6049   0.0227   -0.7002   0.0491   -9.7362  -14.3589    5577
  p160       40.5513  -124.1333   -5.4492   0.0191  +23.2459   0.0154   +0.6218   0.0527   -9.7697  -14.3200    5798
  p161       40.6374  -124.2131   -2.1820   0.0184  +23.4653   0.0162   -1.3841   0.0583   -9.7736  -14.3407    5807
  p162       40.6911  -124.2370   -0.6755   0.0188  +23.1911   0.0146   -1.4471   0.0509   -9.7802  -14.3470    5669
  p163       40.2196  -124.0573  -17.6672   0.0190  +27.0821   0.0221   +1.8214   0.0544   -9.7165  -14.3002    5833
  p164       40.1193  -123.6933  -17.4326   0.0163  +18.2513   0.0175   +0.0504   0.0488   -9.7549  -14.2050    5718
  p165       40.2455  -123.8533  -14.4645   0.0172  +20.2827   0.0193   +1.2176   0.0580   -9.7544  -14.2469    5781
  p166       40.4352  -123.8628   -8.7497   0.0171  +18.8652   0.0173   +0.7790   0.0552   -9.7905  -14.2494    5786
  p167       40.5437  -123.8802   -6.8604   0.0168  +17.9506   0.0189   +0.9672   0.0521   -9.8092  -14.2539    5828
  p168       40.6686  -123.8815   -4.0657   0.0180  +16.5989   0.0214   +2.4284   0.0603   -9.8337  -14.2542    5655
  p169       40.7911  -123.9677   -2.4348   0.0161  +17.9138   0.0133   +1.5348   0.0497   -9.8438  -14.2768    5844
  p170       40.8802  -123.8633   -4.7550   0.0252  +14.1912   0.0315   +2.2285   0.0755   -9.8783  -14.2495    4425
  p179       42.0990  -123.6856   -3.6125   0.0229  +11.3264   0.0205   +0.3104   0.0579  -10.1455  -14.2029    5716
  p191       42.2754  -123.6323   -3.7984   0.0195  +11.1000   0.0199   +0.0606   0.0534  -10.1885  -14.1889    5766
  p312       39.5292  -123.6984  -25.5701   0.0262  +26.6654   0.0201   -1.9946   0.1204   -9.6358  -14.2063    5576
  p313       39.5543  -123.5645  -24.6250   0.0215  +24.1358   0.0247   -1.6337   0.0842   -9.6620  -14.1711    5452
  p314       39.6857  -123.5818  -24.9911   0.0200  +21.8091   0.0174   -0.6184   0.0447   -9.6857  -14.1757    5828
  p315       39.8636  -123.7169  -24.2004   0.0198  +22.4549   0.0199   +0.8551   0.0671   -9.7000  -14.2111    5766
  p316       41.5591  -124.0861   -3.2226   0.0214  +13.2441   0.0266   -1.3803   0.0679   -9.9744  -14.3077    4572
  p317       39.9057  -123.5518  -20.5858   0.0202  +16.4630   0.0202   -0.7440   0.0551   -9.7347  -14.1678    5781
  p319       39.7071  -123.2951  -20.1727   0.0203  +12.1912   0.0486   +1.5512   0.0717   -9.7352  -14.1001    5368
  p321       39.8972  -123.3949  -17.5661   0.0202  +18.1444   0.0179   -0.4536   0.0567   -9.7578  -14.1265    5778
  p322       39.9621  -123.1825  -13.7558   0.0206   +9.6822   0.0182   +0.5888   0.0541   -9.8045  -14.0704    5682
  p324       40.2568  -123.6557  -13.7593   0.0184  +16.4221   0.0149   +0.1185   0.0537   -9.7884  -14.1951    5780
  p325       41.1517  -123.8826   -3.3036   0.0185  +12.3676   0.0185   +2.1839   0.0507   -9.9285  -14.2545    5614
  p326       40.5753  -123.6989   -8.9146   0.0164  +11.8899   0.0159   +1.4561   0.0568   -9.8447  -14.2064    5843
  p327       40.4789  -123.5731  -10.8190   0.0234  +11.4224   0.0212   +0.7789   0.0561   -9.8458  -14.1734    5825
  p329       40.0822  -123.4520  -16.9262   0.0192  +14.7955   0.0169   +0.2914   0.0573   -9.7859  -14.1415    5367
  p330       40.3241  -123.1356  -11.9768   0.0269   +9.7684   0.0187   +0.2649   0.0599   -9.8848  -14.0580    5424
  p331       40.7329  -123.3241   -8.7202   0.0222  +10.2822   0.0183   +0.4451   0.0586   -9.9364  -14.1078    5392
  p332       40.5467  -123.1745  -10.4613   0.0197  +10.0895   0.0170   +0.3657   0.0588   -9.9232  -14.0683    5722
  p333       39.6214  -122.9758  -14.0505   0.0288  +10.1635   0.0228   -0.1707   0.0644   -9.7679  -14.0156    4978
  p335       39.7262  -122.8736  -13.5982   0.0293   +9.9792   0.0272   -0.2457   0.0598   -9.8051  -13.9885    5146
  p336       39.5281  -122.4305  -12.4793   0.0175   +8.7793   0.0156   -0.0917   0.0535   -9.8333  -13.8702    5174
  p337       40.2962  -122.8688  -11.7184   0.0246   +8.9344   0.0247   -0.0919   0.0631   -9.9214  -13.9872    5519
  p338       40.7476  -122.9230   -9.5670   0.0219   +9.4213   0.0172   -0.1824   0.0690  -10.0035  -14.0016    5750
  p339       40.0341  -122.6682  -11.9824   0.0192   +9.1050   0.0184   +0.5818   0.0590   -9.8998  -13.9338    5530
  p341       40.6507  -122.6069  -10.2991   0.0210   +8.8171   0.0246   +0.7621   0.0717  -10.0343  -13.9174    5677
  p343       40.8871  -123.3342   -7.7121   0.0205  +10.9412   0.0198   +0.1766   0.0554   -9.9654  -14.1105    5572
  p344       39.9291  -122.0280  -12.5519   0.0184   +8.9056   0.0139   +0.0109   0.0617   -9.9778  -13.7621    5816
  p345       40.2712  -122.2708  -11.5542   0.0174   +8.6263   0.0148   -0.1402   0.0653  -10.0102  -13.8274    5768
  p348       40.9055  -121.8280   -9.3275   0.0246   +7.6559   0.0180   +0.2018   0.0713  -10.2085  -13.7081    5454
